date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:36	3847/3847	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Sep%202022%2013:40:39%20GMT	https://setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/style_dynamic.css?ver=1664199639	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/style_dynamic3613.css	(from https://setsail.qodeinteractive.com/)
12:39:36	463/463	---MCZ	200	added ('OK')	text/css	date:Mon,%2026%20Sep%202022%2013:40:39%20GMT	https://setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/style_dynamic_responsive.css?ver=1664199639	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/themes/setsail/assets/css/style_dynamic_responsive3613.css	(from https://setsail.qodeinteractive.com/)
12:39:37	24732/24732	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2014%20Sep%202023%2001:07:19%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPCbd5aDdvg.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPCbd5aDdvg.ttf	(from https://setsail.qodeinteractive.com/)
12:39:37	24688/24688	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2014%20Sep%202023%2001:07:18%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPHjd5aDdvg.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPHjd5aDdvg.ttf	(from https://setsail.qodeinteractive.com/)
12:39:37	24704/24704	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2014%20Sep%202023%2001:07:14%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPErd5aDdvg.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPErd5aDdvg.ttf	(from https://setsail.qodeinteractive.com/)
12:39:37	24712/24712	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2014%20Sep%202023%2000:53:34%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPKba5aDdvg.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPKba5aDdvg.ttf	(from https://setsail.qodeinteractive.com/)
12:39:38	24640/24640	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2013%20Sep%202023%2023:35:35%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPJ_a5aDdvg.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPJ_a5aDdvg.ttf	(from https://setsail.qodeinteractive.com/)
12:39:38	24716/24716	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2013%20Sep%202023%2023:22:30%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPPja5aDdvg.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/catamaran/v19/o-0bIpQoyXQa2RxT7-5B6Ryxs2E_6n1iPPja5aDdvg.ttf	(from https://setsail.qodeinteractive.com/)
12:39:38	24820/24820	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2016:05:45%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiByp8kv8JHgFVrLDz8Z1JlEA.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiByp8kv8JHgFVrLDz8Z1JlEA.ttf	(from https://setsail.qodeinteractive.com/)
12:39:38	24756/24756	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2017:03:53%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiEyp8kv8JHgFVrJJnedw.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiEyp8kv8JHgFVrJJnedw.ttf	(from https://setsail.qodeinteractive.com/)
12:39:38	24728/24728	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2016:10:09%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiByp8kv8JHgFVrLGT9Z1JlEA.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiByp8kv8JHgFVrLGT9Z1JlEA.ttf	(from https://setsail.qodeinteractive.com/)
12:39:39	24692/24692	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2016:59:08%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiByp8kv8JHgFVrLEj6Z1JlEA.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiByp8kv8JHgFVrLEj6Z1JlEA.ttf	(from https://setsail.qodeinteractive.com/)
12:39:40	24404/24404	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2016:11:40%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiByp8kv8JHgFVrLCz7Z1JlEA.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiByp8kv8JHgFVrLCz7Z1JlEA.ttf	(from https://setsail.qodeinteractive.com/)
12:39:40	24256/24256	---MCZ	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2016:52:02%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiByp8kv8JHgFVrLDD4Z1JlEA.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/poppins/v20/pxiByp8kv8JHgFVrLDD4Z1JlEA.ttf	(from https://setsail.qodeinteractive.com/)
12:39:42	44256/44256	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2024%20Aug%202023%2020:43:33%20GMT	https://setsail.qodeinteractive.com/fonts.gstatic.com/s/satisfy/v21/rP2Hp2yn6lkG50LoCZOIGA.ttf	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/fonts.gstatic.com/s/satisfy/v21/rP2Hp2yn6lkG50LoCZOIGA.ttf	(from https://setsail.qodeinteractive.com/)
12:39:43	10756/10756	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Jan%202022%2010:15:21%20GMT	https://setsail.qodeinteractive.com/wp-content/plugins/setsail-core/core-dashboard/assets/css/core-dashboard.min.css?ver=6.2.3	D:/WEB%20CREATIVE%20SOLUTION/TEMPLATES/Travelsite/setsail.qodeinteractive.com/wp-content/plugins/setsail-core/core-dashboard/assets/css/core-dashboard.min18cf.css	(from https://setsail.qodeinteractive.com/)
